2018-02-21-18:08:16, gdax:10330.02000000, koinex:10624.41, ratio:-2.84
2018-02-21-18:09:19, gdax:10367.65000000, koinex:10624.41, ratio:-2.47
2018-02-21-18:10:21, gdax:10359.65000000, koinex:10624.41, ratio:-2.55
2018-02-21-18:11:23, gdax:10359.75000000, koinex:10624.41, ratio:-2.55
2018-02-21-18:12:25, gdax:10337.87000000, koinex:10624.41, ratio:-2.77
2018-02-21-18:13:28, gdax:10337.88000000, koinex:10624.41, ratio:-2.77
2018-02-21-18:14:30, gdax:10341.57000000, koinex:10624.41, ratio:-2.73
2018-02-21-18:45:25, gdax:10388.18000000, koinex:10778.59, ratio:-3.75
2018-02-21-19:25:13, gdax:10551.01000000, koinex:10886.68, ratio:-3.18
2018-02-21-20:01:53, gdax:10593.32000000, koinex:10826.63, ratio:-2.20
2018-02-21-20:33:27, gdax:10727.01000000, koinex:10979.33, ratio:-2.35
2018-02-21-21:05:15, gdax:10686.10000000, koinex:11071.97, ratio:-3.61
2018-02-21-21:08:44, gdax:10685.06000000, koinex:11041.10, ratio:-3.33
2018-02-21-21:09:46, gdax:10690.00000000, koinex:11041.10, ratio:-3.28
2018-02-21-21:10:49, gdax:10698.00000000, koinex:11056.54, ratio:-3.35
2018-02-21-21:11:51, gdax:10698.00000000, koinex:11056.54, ratio:-3.35
2018-02-21-21:12:53, gdax:10716.85000000, koinex:11056.54, ratio:-3.16
2018-02-21-21:13:56, gdax:10719.00000000, koinex:11041.10, ratio:-3.00
2018-02-21-21:14:59, gdax:10718.99000000, koinex:11065.73, ratio:-3.23
2018-02-21-21:16:02, gdax:10706.39000000, koinex:11065.73, ratio:-3.35
2018-02-21-21:17:04, gdax:10691.45000000, koinex:11065.73, ratio:-3.50
2018-02-21-21:19:50, gdax:10698.99000000, koinex:11065.64, ratio:-3.42
2018-02-21-22:00:21, gdax:10728.09000000, koinex:11118.31, ratio:-3.63
2018-02-21-22:01:23, gdax:10698.98000000, koinex:11118.33, ratio:-3.91
2018-02-21-22:02:26, gdax:10698.98000000, koinex:11118.33, ratio:-3.91
2018-02-21-22:03:29, gdax:10690.16000000, koinex:11118.33, ratio:-4.00
2018-02-21-22:04:31, gdax:10675.04000000, koinex:11118.33, ratio:-4.15
2018-02-21-22:05:33, gdax:10684.96000000, koinex:11118.44, ratio:-4.05
2018-02-21-22:06:36, gdax:10666.55000000, koinex:11118.33, ratio:-4.23
2018-02-21-22:07:38, gdax:10674.67000000, koinex:11118.31, ratio:-4.15
2018-02-21-22:08:41, gdax:10677.96000000, koinex:11149.20, ratio:-4.41
2018-02-21-22:09:43, gdax:10677.99000000, koinex:11180.08, ratio:-4.70
2018-02-21-22:10:46, gdax:10685.04000000, koinex:11180.08, ratio:-4.63
2018-02-21-23:23:08, gdax:10810.99000000, koinex:11178.23, ratio:-3.39
2018-02-21-23:39:57, gdax:10798.00000000, koinex:11092.14, ratio:-2.72
2018-02-21-23:48:37, gdax:10818.99000000, koinex:11149.20, ratio:-3.05
2018-02-21-23:59:19, gdax:10799.98000000, koinex:11087.43, ratio:-2.66
2018-02-22-00:35:49, gdax:10900.00000000, koinex:11195.52, ratio:-2.71
2018-02-22-00:36:51, gdax:10880.06000000, koinex:11226.41, ratio:-3.18
2018-02-22-01:45:24, gdax:10685.35000000, koinex:11095.15, ratio:-3.83
2018-02-22-01:46:26, gdax:10680.01000000, koinex:11095.15, ratio:-3.88
2018-02-22-01:47:30, gdax:10671.00000000, koinex:11095.15, ratio:-3.97
2018-02-22-02:24:33, gdax:10580.01000000, koinex:10963.89, ratio:-3.62
2018-02-22-02:59:43, gdax:10467.66000000, koinex:10840.35, ratio:-3.56
2018-02-22-03:32:55, gdax:10570.31000000, koinex:10979.33, ratio:-3.86
2018-02-22-04:11:02, gdax:10220.00000000, koinex:10764.69, ratio:-5.32
2018-02-22-04:47:46, gdax:10157.01000000, koinex:10778.59, ratio:-6.11
2018-02-22-05:17:39, gdax:10210.00000000, koinex:10871.24, ratio:-6.47
2018-02-22-05:54:33, gdax:10288.00000000, koinex:10871.24, ratio:-5.66
2018-02-22-06:26:58, gdax:10190.53000000, koinex:10871.24, ratio:-6.67
2018-02-22-06:59:30, gdax:9917.62000000, koinex:10577.84, ratio:-6.65
2018-02-22-07:16:38, gdax:9964.99000000, koinex:10546.95, ratio:-5.84
2018-02-22-07:17:40, gdax:9930.11000000, koinex:10546.95, ratio:-6.21
2018-02-22-07:18:34, gdax:9904.95000000, koinex:10546.95, ratio:-6.48
2018-02-22-07:19:37, gdax:9900.00000000, koinex:10546.97, ratio:-6.53
2018-02-22-07:20:39, gdax:9930.00000000, koinex:10500.63, ratio:-5.74
2018-02-22-07:21:42, gdax:9876.54000000, koinex:10502.17, ratio:-6.33
2018-02-22-07:22:44, gdax:9850.00000000, koinex:10500.63, ratio:-6.60
2018-02-22-07:23:46, gdax:9866.16000000, koinex:10498.33, ratio:-6.40
2018-02-22-07:24:48, gdax:9852.96000000, koinex:10500.63, ratio:-6.57
2018-02-22-07:25:50, gdax:9835.49000000, koinex:10500.63, ratio:-6.76
2018-02-22-07:26:52, gdax:9789.64000000, koinex:10500.64, ratio:-7.26
2018-02-22-07:27:55, gdax:9821.99000000, koinex:10546.95, ratio:-7.38
2018-02-22-07:28:57, gdax:9793.04000000, koinex:10572.43, ratio:-7.95
2018-02-22-07:29:59, gdax:9828.94000000, koinex:10572.43, ratio:-7.56
2018-02-22-07:31:01, gdax:9857.00000000, koinex:10593.28, ratio:-7.46
2018-02-22-07:32:04, gdax:9908.53000000, koinex:10655.05, ratio:-7.53
2018-02-22-07:33:06, gdax:9885.32000000, koinex:10655.05, ratio:-7.78
2018-02-22-07:34:08, gdax:9874.34000000, koinex:10655.05, ratio:-7.90
2018-02-22-07:35:10, gdax:9874.33000000, koinex:10594.82, ratio:-7.29
2018-02-22-07:36:12, gdax:9851.00000000, koinex:10577.84, ratio:-7.37
2018-02-22-07:37:15, gdax:9823.72000000, koinex:10577.84, ratio:-7.67
2018-02-22-07:38:17, gdax:9852.28000000, koinex:10516.07, ratio:-6.73
2018-02-22-07:39:20, gdax:9858.98000000, koinex:10500.63, ratio:-6.50
2018-02-22-07:40:22, gdax:9874.92000000, koinex:10516.07, ratio:-6.49
2018-02-22-07:41:24, gdax:9854.38000000, koinex:10577.84, ratio:-7.34
2018-02-22-13:08:16, gdax:9882.00000000, koinex:10618.02, ratio:-7.44
2018-02-22-13:47:55, gdax:10000.00000000, koinex:10590.36, ratio:-5.90
2018-02-22-14:27:27, gdax:9988.00000000, koinex:10605.76, ratio:-6.18
2018-02-22-15:06:01, gdax:10134.00000000, koinex:10633.39, ratio:-4.92
2018-02-22-15:40:05, gdax:9902.66000000, koinex:10602.66, ratio:-7.06
2018-02-22-16:13:19, gdax:9920.00000000, koinex:10679.46, ratio:-7.65
2018-02-22-16:34:39, gdax:9825.29000000, koinex:10664.12, ratio:-8.53
2018-02-22-16:48:05, gdax:9880.00000000, koinex:10602.66, ratio:-7.31
2018-02-22-17:52:14, gdax:9850.01000000, koinex:10525.83, ratio:-6.86
2018-02-22-18:30:42, gdax:9670.76000000, koinex:10464.36, ratio:-8.20
2018-02-22-18:51:53, gdax:9681.87000000, koinex:10510.46, ratio:-8.55
2018-02-22-18:52:55, gdax:9689.30000000, koinex:10510.46, ratio:-8.47
2018-02-22-18:53:59, gdax:9687.27000000, koinex:10510.46, ratio:-8.49
2018-02-22-18:55:02, gdax:9687.34000000, koinex:10510.46, ratio:-8.49
2018-02-22-18:56:04, gdax:9690.00000000, koinex:10510.46, ratio:-8.46
2018-02-22-18:57:06, gdax:9689.99000000, koinex:10510.46, ratio:-8.46
2018-02-22-18:58:08, gdax:9695.00000000, koinex:10510.46, ratio:-8.41
2018-02-22-18:59:11, gdax:9696.00000000, koinex:10510.46, ratio:-8.39
2018-02-22-19:00:13, gdax:9672.83000000, koinex:10452.07, ratio:-8.05
2018-02-22-19:01:15, gdax:9624.87000000, koinex:10452.07, ratio:-8.59
2018-02-22-19:02:17, gdax:9606.01000000, koinex:10452.07, ratio:-8.80
2018-02-22-19:03:20, gdax:9601.47000000, koinex:10452.07, ratio:-8.85
2018-02-22-19:04:22, gdax:9634.99000000, koinex:10450.55, ratio:-8.46
2018-02-22-19:05:24, gdax:9630.01000000, koinex:10450.55, ratio:-8.52
2018-02-22-19:06:27, gdax:9621.99000000, koinex:10450.55, ratio:-8.61
2018-02-22-21:12:34, gdax:, koinex:, ratio:
2018-02-22-21:13:36, gdax:9700.09000000, koinex:10476.02, ratio:-7.99
2018-02-22-21:14:38, gdax:9710.00000000, koinex:10448.99, ratio:-7.61
2018-02-22-21:15:41, gdax:9709.99000000, koinex:10464.36, ratio:-7.76
2018-02-22-21:16:43, gdax:9696.30000000, koinex:10464.36, ratio:-7.92
2018-02-22-21:17:45, gdax:9696.31000000, koinex:10464.36, ratio:-7.92
2018-02-22-21:18:49, gdax:9724.99000000, koinex:10464.36, ratio:-7.60
2018-02-22-21:19:51, gdax:9713.01000000, koinex:10472.04, ratio:-7.81
2018-02-22-21:20:53, gdax:9709.75000000, koinex:10472.04, ratio:-7.85
2018-02-22-21:21:55, gdax:9712.96000000, koinex:10472.04, ratio:-7.81
2018-02-22-21:22:57, gdax:9712.96000000, koinex:10472.04, ratio:-7.81
2018-02-22-21:24:00, gdax:9712.96000000, koinex:10472.04, ratio:-7.81
2018-02-22-21:25:03, gdax:9712.95000000, koinex:10472.04, ratio:-7.81
2018-02-22-21:26:06, gdax:9693.32000000, koinex:10472.04, ratio:-8.03
2018-02-22-21:27:09, gdax:9676.74000000, koinex:10472.04, ratio:-8.21
2018-02-22-21:28:11, gdax:9670.62000000, koinex:10472.04, ratio:-8.28
2018-02-22-21:29:14, gdax:9670.63000000, koinex:10472.04, ratio:-8.28
2018-02-22-21:30:16, gdax:9670.63000000, koinex:10472.04, ratio:-8.28
2018-02-22-21:31:19, gdax:9693.31000000, koinex:10472.04, ratio:-8.03
2018-02-22-21:32:21, gdax:9696.28000000, koinex:10472.04, ratio:-8.00
2018-02-22-21:33:24, gdax:9693.32000000, koinex:10472.04, ratio:-8.03
2018-02-22-21:34:27, gdax:9685.01000000, koinex:10425.95, ratio:-7.65
2018-02-22-21:35:29, gdax:9685.09000000, koinex:10425.95, ratio:-7.64
2018-02-22-21:36:31, gdax:9685.08000000, koinex:10472.03, ratio:-8.12
2018-02-22-21:37:34, gdax:9685.08000000, koinex:10472.03, ratio:-8.12
2018-02-22-21:38:36, gdax:9682.35000000, koinex:10472.03, ratio:-8.15
2018-02-22-21:39:39, gdax:9674.60000000, koinex:10472.03, ratio:-8.24
2018-02-22-21:40:41, gdax:9674.61000000, koinex:10472.03, ratio:-8.24
2018-02-22-21:41:44, gdax:9680.00000000, koinex:10472.03, ratio:-8.18
2018-02-22-21:43:10, gdax:9700.00000000, koinex:10425.95, ratio:-7.48
2018-02-22-21:44:12, gdax:9703.82000000, koinex:10433.63, ratio:-7.52
2018-02-22-21:45:15, gdax:9707.83000000, koinex:10433.63, ratio:-7.47
2018-02-22-21:46:17, gdax:9707.83000000, koinex:10433.63, ratio:-7.47
2018-02-22-21:47:19, gdax:9722.23000000, koinex:10472.03, ratio:-7.71
2018-02-22-21:48:21, gdax:9769.71000000, koinex:10472.03, ratio:-7.18
2018-02-22-21:49:24, gdax:9785.00000000, koinex:10472.04, ratio:-7.02
2018-02-22-21:50:26, gdax:9806.62000000, koinex:10472.04, ratio:-6.78
2018-02-22-21:51:28, gdax:9791.81000000, koinex:10525.83, ratio:-7.49
2018-02-22-21:52:31, gdax:9805.35000000, koinex:10525.83, ratio:-7.34
2018-02-22-21:53:33, gdax:9805.36000000, koinex:10525.83, ratio:-7.34
2018-02-22-21:54:35, gdax:9805.35000000, koinex:10525.83, ratio:-7.34
2018-02-22-21:55:38, gdax:9780.01000000, koinex:10479.73, ratio:-7.15
2018-02-22-21:56:40, gdax:9800.00000000, koinex:10479.73, ratio:-6.93
2018-02-22-21:57:43, gdax:9791.98000000, koinex:10479.73, ratio:-7.02
2018-02-22-21:58:45, gdax:9795.02000000, koinex:10479.73, ratio:-6.99
2018-02-22-21:59:48, gdax:9795.00000000, koinex:10585.45, ratio:-8.06
2018-02-22-22:00:50, gdax:9795.01000000, koinex:10585.45, ratio:-8.06
2018-02-22-22:01:20, gdax:9795.01000000, koinex:10585.45, ratio:-8.06
2018-02-22-22:01:53, gdax:9795.03000000, koinex:10585.45, ratio:-8.06
2018-02-22-22:02:55, gdax:9835.22000000, koinex:10585.45, ratio:-7.62
2018-02-22-22:03:57, gdax:9859.89000000, koinex:10585.45, ratio:-7.35
2018-02-22-22:05:00, gdax:9872.00000000, koinex:10585.45, ratio:-7.22
2018-02-22-22:06:02, gdax:9887.00000000, koinex:10510.46, ratio:-6.30
2018-02-22-22:07:05, gdax:9887.00000000, koinex:10510.46, ratio:-6.30
